Player,Shot,Point,Game,Set,bounce_x_std,bounce_y_std,hit_x_std,hit_y_std,hit_z,Speed (MPH),Type,Stroke,Spin,Bounce Depth,Bounce Zone,Hit Zone,Result,Winner,Hit Depth,Direction,Hit Side,Bounce (x),Bounce (y),Hit (x),Hit (y)
Adi Bitton,1,1,1,1,2.767967,5.592771,1.646484,-0.188788,2.21875,63.723099,first_serve,Serve,Slice,short,deuce,deuce,In,Adi Bitton,deep,out wide,far,2.767967,5.592771,-1.646484,23.958788
Opponent,2,1,1,1,-3.373047,16.978745,4.417969,-1.095559,1.150391,34.698551,first_return,Forehand,Topspin,short,deuce,deuce_alley,Net,Adi Bitton,out,down the line,near,3.373047,6.791255,4.417969,-1.095559
Adi Bitton,1,2,1,1,-2.213389,6.137396,-0.525391,-0.063788,2.400391,63.607983,first_serve,Serve,Flat,short,ad,ad,In,Adi Bitton,deep,down the T,far,-2.213389,6.137396,0.525391,23.833788
Opponent,2,2,1,1,1.759327,2.299575,-2.669922,-1.501809,1.148438,47.860279,first_return,Forehand,Flat,deep,deuce,ad,In,Adi Bitton,out,inside in,near,-1.759327,21.470425,-2.669922,-1.501809
Adi Bitton,3,2,1,1,4.1148,0.601562,2.033203,-0.782538,1.310547,53.810673,serve_plus_one,Forehand,Topspin,deep,deuce,deuce,In,Adi Bitton,deep,cross court,far,4.1148,0.601562,-2.033203,24.552538
Opponent,4,2,1,1,-0.064378,2.603862,4.59375,-1.759622,0.842773,35.598557,return_plus_one,Forehand,Topspin,deep,ad,deuce_alley,In,Adi Bitton,out,down the line,near,0.064378,21.166138,4.59375,-1.759622
Adi Bitton,5,2,1,1,2.743133,4.010045,0.361572,2.186212,1.708984,63.38023,in_play,Forehand,Topspin,deep,deuce,deuce,In,Opponent,deep,cross court,far,2.743133,4.010045,-0.361572,21.583788
Adi Bitton,1,3,1,1,3.956524,5.483065,1.22168,0.686212,2.285156,59.124046,first_serve,Serve,Slice,deep,deuce,deuce,Out,Opponent,deep,out wide,far,3.956524,5.483065,-1.22168,23.083788
Adi Bitton,1,3,1,1,2.809156,4.988091,1.357422,0.561212,2.322266,54.94437,second_serve,Serve,Slice,deep,deuce,deuce,Out,Opponent,deep,out wide,far,2.809156,4.988091,-1.357422,23.208788
Opponent,2,3,1,1,0.466797,5.362171,4.238281,-0.736184,1.291992,35.468269,second_return,Forehand,Flat,deep,deuce,deuce_alley,In,Opponent,out,down the line,near,-0.466797,18.407829,4.238281,-0.736184
Adi Bitton,1,4,1,1,-2.031196,8.270495,-0.533203,0.045587,2.234375,62.401241,first_serve,Serve,Kick,short,ad,ad,In,Opponent,deep,out wide,far,-2.031196,8.270495,0.533203,23.724413
Opponent,2,4,1,1,1.406956,5.721166,-2.818359,-1.181497,1.007812,55.685772,first_return,Forehand,Flat,short,deuce,ad,In,Opponent,out,inside in,near,-1.406956,18.048834,-2.818359,-1.181497
Adi Bitton,3,4,1,1,3.531072,4.257192,1.345703,-0.329413,0.885742,51.855545,serve_plus_one,Forehand,Topspin,deep,deuce,deuce,In,Opponent,deep,cross court,far,3.531072,4.257192,-1.345703,24.099413
Opponent,4,4,1,1,3.128344,0.0303,3.929688,-1.462747,1.132812,36.093956,return_plus_one,Forehand,Topspin,deep,deuce,deuce,In,Opponent,out,cross court,near,-3.128344,23.7397,3.929688,-1.462747
Adi Bitton,5,4,1,1,-1.081768,9.71146,3.783203,-1.720038,1.707031,27.093956,in_play,Forehand,Topspin,short,ad,deuce,In,Opponent,out,down the line,far,-1.081768,9.71146,-3.783203,25.490038
Opponent,6,4,1,1,-2.9264,0.007644,0.021927,1.357566,1.375,73.541908,in_play,Backhand,Flat,deep,ad,center_line,In,Opponent,deep,down the line,near,2.9264,23.762356,0.021927,1.357566
Adi Bitton,7,4,1,1,2.582031,12.421875,-2.683594,-1.657538,1.492188,38.574314,in_play,Backhand,Flat,short,ad,ad,Net,Adi Bitton,out,cross court,far,2.582031,12.421875,2.683594,25.427538
Adi Bitton,1,5,1,1,2.330078,12.3125,1.398438,-0.110663,2.394531,40.852921,first_serve,Serve,Kick,short,ad,deuce,Net,Adi Bitton,deep,out wide,far,2.330078,12.3125,-1.398438,23.880663
Adi Bitton,1,5,1,1,3.049889,7.629717,1.391602,0.608087,2.134766,52.004494,second_serve,Serve,Slice,short,deuce,deuce,In,Adi Bitton,deep,out wide,far,3.049889,7.629717,-1.391602,23.161913
Opponent,2,5,1,1,1.030423,5.877937,4.652344,0.256003,1.164062,59.239254,second_return,Forehand,Topspin,short,deuce,deuce_alley,In,Adi Bitton,deep,down the line,near,-1.030423,17.892063,4.652344,0.256003
Adi Bitton,3,5,1,1,-1.744604,4.174065,3.392578,0.717462,0.939453,38.409225,serve_plus_one,Forehand,Slice,deep,ad,deuce,In,Adi Bitton,deep,down the line,far,-1.744604,4.174065,-3.392578,23.052538
Opponent,4,5,1,1,-3.003906,18.048319,-1.818359,-0.126809,0.581055,27.367968,return_plus_one,Backhand,Topspin,short,deuce,ad,Net,Opponent,deep,down the line,near,3.003906,5.721681,-1.818359,-0.126809
Adi Bitton,1,6,1,1,-1.75293,12.632812,-0.538574,0.029962,2.365234,38.294315,first_serve,Serve,Flat,short,deuce,ad,Net,Opponent,deep,out wide,far,-1.75293,12.632812,0.538574,23.740038
Adi Bitton,1,6,1,1,-2.800781,17.596512,0.440674,0.491254,2.255859,25.691612,second_serve,Serve,Flat,short,deuce,ad,Net,Opponent,deep,out wide,far,-2.800781,17.596512,-0.440674,23.278746
Opponent,1,7,2,1,0.721191,12.320312,0.756348,1.248712,2.191406,44.138172,first_serve,Serve,Flat,short,ad,deuce,Net,Opponent,deep,down the T,far,0.721191,12.320312,-0.756348,22.521288
Opponent,1,7,2,1,1.57074,7.136008,0.759277,-0.157538,2.191406,52.122227,second_serve,Serve,Kick,short,deuce,deuce,In,Opponent,deep,down the T,far,1.57074,7.136008,-0.759277,23.927538
Adi Bitton,2,7,2,1,-1.058594,13.830604,1.925781,-0.204934,1.49707,30.182949,second_return,Forehand,Topspin,short,deuce,deuce,Net,Adi Bitton,deep,cross court,near,1.058594,9.939396,1.925781,-0.204934
Opponent,1,8,2,1,-2.439483,6.393725,-1.279297,-0.626288,2.417969,82.91745,first_serve,Serve,Slice,short,ad,ad,In,Adi Bitton,deep,out wide,far,-2.439483,6.393725,1.279297,24.396288
Adi Bitton,2,8,2,1,-0.623005,7.957893,-4.402344,-0.954934,1.177734,38.661381,first_return,Backhand,Topspin,short,ad,ad_alley,In,Adi Bitton,out,down the line,near,0.623005,15.812107,-4.402344,-0.954934
Opponent,3,8,2,1,-1.429182,1.697803,-1.489258,2.529962,1.466797,60.885834,serve_plus_one,Backhand,Topspin,deep,ad,ad,In,Adi Bitton,deep,cross court,far,-1.429182,1.697803,1.489258,21.240038
Adi Bitton,4,8,2,1,-1.298828,5.61375,-1.821289,-2.12681,1.012695,59.284233,return_plus_one,Backhand,Flat,short,ad,ad,In,Adi Bitton,out,cross court,near,1.298828,18.15625,-1.821289,-2.12681
Opponent,5,8,2,1,2.123047,12.375,-1.298828,4.404962,0.835938,21.650688,in_play,Volley,Slice,short,ad,ad,Net,Adi Bitton,short,cross court,far,2.123047,12.375,1.298828,19.365038
Opponent,1,9,2,1,1.122029,5.042954,0.398193,0.344411,2.189453,92.39608,first_serve,Serve,Slice,deep,deuce,deuce,Out,Adi Bitton,deep,down the T,far,1.122029,5.042954,-0.398193,23.425589
Opponent,1,9,2,1,0.820939,6.665318,0.740723,0.279962,2.199219,54.38509,second_serve,Serve,Kick,short,deuce,deuce,In,Adi Bitton,deep,down the T,far,0.820939,6.665318,-0.740723,23.490038
Adi Bitton,2,9,2,1,-3.860653,6.350765,1.311523,-0.931497,1.144531,58.007462,second_return,Backhand,Flat,short,ad,deuce,In,Adi Bitton,out,inside in,near,3.860653,17.419235,1.311523,-0.931497
Opponent,3,9,2,1,4.869551,24.296875,-4.441406,-3.657538,0.663574,61.994785,serve_plus_one,Backhand,Flat,out,ad_alley,ad_alley,Net,Adi Bitton,out,cross court,far,4.869551,24.296875,4.441406,27.427538
Opponent,1,10,2,1,-3.970076,6.784674,-1.53418,-0.407538,2.480469,64.950722,first_serve,Serve,Slice,short,ad,ad,In,Adi Bitton,deep,out wide,far,-3.970076,6.784674,1.53418,24.177538
Adi Bitton,2,10,2,1,0.923033,-0.492671,-4.816406,0.224753,1.286133,46.436966,first_return,Backhand,Topspin,out,deuce,ad_alley,Out,Adi Bitton,deep,down the line,near,-0.923033,24.262671,-4.816406,0.224753
Opponent,3,10,2,1,-3.400391,13.835004,1.46582,-1.032538,0.634277,28.32757,serve_plus_one,Forehand,Flat,short,deuce,deuce,Net,Opponent,deep,cross court,far,-3.400391,13.835004,-1.46582,24.802538
Opponent,1,11,2,1,3.647139,4.140358,0.774414,-0.063788,2.380859,75.576775,first_serve,Serve,Flat,deep,deuce,deuce,Out,Opponent,deep,out wide,far,3.647139,4.140358,-0.774414,23.833788
