Player,Shot,Point,Game,Set,Type,Stroke,Spin,Result,Winner,Bounce Depth,Bounce Zone,Bounce Side,Hit Depth,Hit Zone,Direction,Speed (MPH),Hit Side,Bounce (x),Bounce (y),bounce_x_std,bounce_y_std,Hit (x),Hit (y),Hit (z),hit_x_std,hit_y_std
Opponent,1,1,1,1,first_serve,Serve,Slice,In,Opponent,short,deuce,far,deep,deuce,out wide,86.72966,near,-2.905763,18.282887,2.905763,5.487113,-0.054871,0.740981,2.314453,0.740981,0.740981
Nikol Mircheva,2,1,1,1,first_return,Forehand,Topspin,Out,Opponent,out,ad,near,deep,deuce_alley,down the line,49.983871,far,-1.436523,-0.328125,-1.436523,-0.328125,-4.171875,24.771288,1.203125,4.171875,-1.001288
Opponent,1,2,1,1,first_serve,Serve,Flat,In,Nikol Mircheva,short,ad,far,deep,ad,down the T,77.967628,near,1.119798,17.936949,-1.119798,5.833051,-0.22998,0.904441,2.376953,0.904441,0.904441
Nikol Mircheva,2,2,1,1,first_return,Forehand,Topspin,In,Nikol Mircheva,deep,deuce,near,out,ad,inside in,51.893654,far,1.389241,5.06339,1.389241,5.06339,1.749023,25.583788,1.306641,-1.749023,-1.813788
Opponent,3,2,1,1,serve_plus_one,Forehand,Slice,In,Nikol Mircheva,short,ad,far,deep,deuce,down the line,41.020351,near,1.383748,18.285948,-1.383748,5.484052,1.149414,1.006003,0.983398,1.006003,1.006003
Nikol Mircheva,4,2,1,1,return_plus_one,Backhand,Slice,In,Nikol Mircheva,deep,ad,near,deep,ad,cross court,43.64473,far,-2.917999,3.194446,-2.917999,3.194446,1.202148,24.427538,0.361816,-1.202148,-0.657538
Opponent,5,2,1,1,in_play,Backhand,Flat,In,Nikol Mircheva,short,ad,far,deep,ad,cross court,52.118725,near,2.175781,15.085938,-2.175781,8.684062,-2.335938,0.099753,0.770508,0.099753,0.099753
Nikol Mircheva,6,2,1,1,in_play,Volley,Flat,In,Nikol Mircheva,short,deuce,near,short,ad,down the line,24.248772,far,2.507812,7.472656,2.507812,7.472656,2.175781,16.294725,1.15625,-2.175781,7.475275
Opponent,1,3,1,1,first_serve,Serve,Slice,In,Opponent,short,deuce,far,deep,deuce,down the T,86.082153,near,-1.424703,17.700949,1.424703,6.069051,0.65625,0.216941,2.650391,0.216941,0.216941
Nikol Mircheva,2,3,1,1,first_return,Backhand,Slice,Net,Opponent,short,deuce,far,deep,deuce,inside out,26.271345,far,-1.054688,12.640625,-1.054688,12.640625,-1.44043,23.865038,1.800781,1.44043,-0.095038
Opponent,1,4,1,1,first_serve,Serve,Slice,In,Nikol Mircheva,short,ad,far,deep,ad,out wide,73.622192,near,3.05222,16.91419,-3.05222,6.85581,-0.773926,0.138816,2.412109,0.138816,0.138816
Nikol Mircheva,2,4,1,1,first_return,Backhand,Slice,In,Nikol Mircheva,short,ad,near,deep,ad,cross court,40.926609,far,-0.315186,9.15625,-0.315186,9.15625,3.587891,23.771288,1.384766,-3.587891,-0.001288
Opponent,3,4,1,1,serve_plus_one,Volley,Flat,Net,Nikol Mircheva,short,deuce,near,short,ad,down the line,13.467036,near,1.554688,5.527153,-1.554688,18.242847,-0.315186,8.631003,1.853516,8.631003,8.631003
Opponent,1,5,1,1,first_serve,Serve,Flat,In,Opponent,short,deuce,far,deep,deuce,down the T,94.007843,near,-0.885004,17.851904,0.885004,5.918096,0.75293,0.045066,2.501953,0.045066,0.045066
Nikol Mircheva,2,5,1,1,first_return,Backhand,Slice,Out,Opponent,out,deuce,near,deep,deuce,inside out,34.450558,far,2.765625,-1.606999,2.765625,-1.606999,-1.264648,23.021288,3.552734,1.264648,0.748712
Opponent,1,6,1,1,first_serve,Serve,Flat,Out,Nikol Mircheva,deep,ad,far,deep,ad,out wide,71.137489,near,3.868895,18.309105,-3.868895,5.460895,-0.677734,0.154441,2.341797,0.154441,0.154441
Opponent,1,6,1,1,second_serve,Serve,Slice,Out,Nikol Mircheva,short,ad_out,far,deep,ad,out wide,34.740997,near,6.265876,18.1455,-6.265876,5.6245,-0.590332,0.107566,2.375,0.107566,0.107566
Opponent,1,7,1,1,first_serve,Serve,Slice,In,Opponent,short,ad,far,deep,ad,out wide,82.302338,near,2.690343,18.164671,-2.690343,5.605329,-0.810059,0.459128,2.585938,0.459128,0.459128
Nikol Mircheva,2,7,1,1,first_return,Backhand,Slice,Net,Opponent,short,ad,far,deep,ad,cross court,31.981562,far,0.432617,12.546875,0.432617,12.546875,3.328125,23.958788,2.078125,-3.328125,-0.188788
Nikol Mircheva,1,8,2,1,first_serve,Serve,Slice,In,Nikol Mircheva,short,deuce,far,deep,deuce,out wide,86.923096,near,-4.007526,18.268229,4.007526,5.501771,0.944824,-0.173684,2.498047,-0.173684,-0.173684
Opponent,2,8,2,1,first_return,Forehand,Flat,In,Nikol Mircheva,deep,ad,near,out,deuce_alley,down the line,33.694279,far,-3.51432,2.187675,-3.51432,2.187675,-5.417969,24.990038,1.091797,5.417969,-1.220038
Nikol Mircheva,3,8,2,1,serve_plus_one,Backhand,Flat,In,Nikol Mircheva,deep,ad,far,out,ad,cross court,80.050941,near,2.509121,21.978252,-2.509121,1.791748,-3.070312,-0.790872,1.197266,-0.790872,-0.790872
Opponent,4,8,2,1,return_plus_one,Backhand,Flat,Out,Nikol Mircheva,out,ad,near,deep,ad,cross court,48.249943,far,-3.110472,-1.641032,-3.110472,-1.641032,2.521484,24.021288,1.337891,-2.521484,-0.251288
Nikol Mircheva,1,9,2,1,first_serve,Serve,Flat,In,Opponent,short,ad,far,deep,ad,out wide,91.144188,near,3.491471,18.037924,-3.491471,5.732076,-1.013672,1.279441,2.259766,1.279441,1.279441
Opponent,2,9,2,1,first_return,Backhand,Flat,In,Opponent,deep,ad,near,deep,ad_alley,down the line,43.500263,far,-3.489539,0.607028,-3.489539,0.607028,4.597656,23.990038,1.865234,-4.597656,-0.220038
